date,label,record_id,short_alias,formal_column,aggregation,factor_count,n,pearson_ic,rank_ic,pearson_ic_rolling20,pearson_ic_cumulative,rank_ic_rolling20,rank_ic_cumulative
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_buy,dm06_soft_under_buy,dm06_soft_under_buy,buy,2835,2827,0.048735282507941596,0.06961787721227938,,-0.055492010910574686,,-0.04437844411592938
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_sell,dm06_soft_under_sell,dm06_soft_under_sell,sell,2835,2827,0.02364854026748475,0.03542916222949407,,-0.042091112295814886,,-0.015328790322754894
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm07_fresh_match_buy,dm07_fresh_match_buy,dm07_fresh_match_buy,buy,2835,2827,0.04258315839590827,0.07748623751713668,,-0.003118188120802362,,6.715542309891631e-05
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm07_fresh_match_sell,dm07_fresh_match_sell,dm07_fresh_match_sell,sell,2835,2827,0.006283439325140326,0.021171153722422606,,-0.020041598351697505,,0.04421392386355054
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,buy,2835,2827,0.02847685438974463,0.029030020301435942,,-0.06603425989917697,,-0.12890633758207518
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,sell,2835,2827,0.024696286548659924,0.011468577315151288,,-0.0026818382222145686,,-0.033181096047109476
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_buy,dm09_two_level_buy,dm09_two_level_buy,buy,2835,2827,0.038105085240501005,0.023151164748303515,,-0.07156766591471202,,-0.1632781345912518
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_sell,dm09_two_level_sell,dm09_two_level_sell,sell,2835,2827,0.040052067046556304,0.04027183584415048,,-0.08621390103536462,,-0.1595424527344143
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_buy,dm10_excess_cancel_buy,dm10_excess_cancel_buy,buy,2835,2827,0.07764576216950898,0.08115336321028432,,-0.04744191596200599,,-0.09845491200306847
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_sell,dm10_excess_cancel_sell,dm10_excess_cancel_sell,sell,2835,2827,0.022500702909778014,0.03873293949993929,,-0.037110381912832835,,-0.043910015559379276
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_buy,dm11_recent_buy,dm11_recent_buy,buy,2835,2827,0.06571708307154611,0.09389507588837198,,0.02134285511101179,,0.01745973778527482
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_sell,dm11_recent_sell,dm11_recent_sell,sell,2835,2827,0.03307289484893958,0.047405463112335997,,-0.07725781438328719,,-0.06974882120059213
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_buy,dm12_persistent_buy,dm12_persistent_buy,buy,2835,2827,0.0567171682255794,0.07356451375739742,,-0.05701293287868887,,-0.05866710833511893
2024-01-05,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_sell,dm12_persistent_sell,dm12_persistent_sell,sell,2835,2827,0.023744742455352973,0.033603748176100755,,-0.056708742255177386,,-0.04076085617012635
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_buy,dm01_exact_buy,dm01_exact_buy,buy,2835,2830,-0.04774976429591874,-0.06307162758798386,,-0.10355058444453616,,-0.10741699737436382
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_sell,dm01_exact_sell,dm01_exact_sell,sell,2835,2830,-0.04173012896161123,-0.06024385771706292,,-0.08408368480055,,-0.0754069135247892
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_buy,dm02_confirmed_buy,dm02_confirmed_buy,buy,2835,2830,-0.04768607315467509,-0.06306807446129481,,-0.10353072994885497,,-0.10750151794239435
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_sell,dm02_confirmed_sell,dm02_confirmed_sell,sell,2835,2830,-0.04166059340627073,-0.06019804495862093,,-0.08410074361592462,,-0.0754181440169425
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_buy,dm03_price_room_buy,dm03_price_room_buy,buy,2835,2830,-0.03488697214716051,-0.063094321421377,,-0.11003384938884844,,-0.15324434443872806
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_sell,dm03_price_room_sell,dm03_price_room_sell,sell,2835,2830,-0.04482165322173444,-0.0625985227011383,,-0.10204509677511378,,-0.1357772642206222
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_buy,dm04_price_cap_buy,dm04_price_cap_buy,buy,2835,2830,-0.045791896298754534,-0.05638400700726316,,-0.08661493947856647,,-0.0761419707359434
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_sell,dm04_price_cap_sell,dm04_price_cap_sell,sell,2835,2830,-0.03740491225104291,-0.054396578292785866,,-0.06922100955793056,,-0.05493539520296979
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_buy,dm05_lot_floor_buy,dm05_lot_floor_buy,buy,2835,2830,-0.048269547338615604,-0.06385514158968429,,-0.10177787574719055,,-0.1080121382222849
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_sell,dm05_lot_floor_sell,dm05_lot_floor_sell,sell,2835,2830,-0.04178243844003401,-0.06056960063173509,,-0.08299052872241133,,-0.07513191005480248
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_buy,dm06_soft_under_buy,dm06_soft_under_buy,buy,2835,2830,-0.04791930974596612,-0.06335668732529685,,-0.10341132065654081,,-0.10773513144122623
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_sell,dm06_soft_under_sell,dm06_soft_under_sell,sell,2835,2830,-0.04189389516908763,-0.06062245826768094,,-0.08398500746490252,,-0.07595124859043584
2024-01-08,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm07_fresh_match_buy,dm07_fresh_match_buy,dm07_fresh_match_buy,buy,2835,2830,-0.005647889401322142,-0.015664663807085425,,-0.008766077522124504,,-0.015597508383986509
