period,formal_column,group,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days,stock_days,all_stock_days,daily_mean_n
2024-02,dm02_confirmed_sell,1,0.001346842926456956,0.007475845553928237,0.18015927653150188,0.6977538776712835,0.002204153841960343,0.6110476051250094,-0.002973298603785316,0.005666984456699229,0.6,15,4241,4241,282.73333333333335
2024-02,dm02_confirmed_sell,2,0.000827024526329045,0.009118137244777518,0.09070103949167134,0.35128361543494435,0.002807441764901569,0.29458296755018926,-0.004675561332878031,0.00632961038553612,0.6,15,4249,4249,283.26666666666665
2024-02,dm02_confirmed_sell,3,0.0005466542730730476,0.010001611483875652,0.0546566194812056,0.2116841770107052,0.0031192771366162,0.17525030612254594,-0.005567128914694704,0.006660437460840799,0.5333333333333333,15,4242,4242,282.8
2024-02,dm02_confirmed_sell,4,0.0007384367437755636,0.01028286511038207,0.07181235344904045,0.2781280489600944,0.0032195903787945236,0.2293573582028309,-0.005571960398661702,0.00704883388621283,0.5333333333333333,15,4248,4248,283.2
2024-02,dm02_confirmed_sell,5,0.0006160854815011803,0.010212670478779887,0.060325600711517754,0.23364004690566656,0.003160596930123441,0.1949269378924311,-0.005578684501540763,0.006810855464543125,0.5333333333333333,15,4248,4248,283.2
2024-02,dm02_confirmed_sell,6,0.001047526015352904,0.010294996986348521,0.1017509783385032,0.3940798445653345,0.003173704531831592,0.33006412690483233,-0.0051729348670370165,0.007267986897742824,0.6666666666666666,15,4245,4245,283.0
2024-02,dm02_confirmed_sell,7,0.00030378877708851445,0.010739351136898355,0.028287442436326936,0.10955679346269519,0.0032823737712533384,0.09255154904936863,-0.006129663814568029,0.006737241368745058,0.6666666666666666,15,4243,4243,282.8666666666667
2024-02,dm02_confirmed_sell,8,0.0006972614003594813,0.011077637551282691,0.06294314984865565,0.24377777112168125,0.003443022314192082,0.20251434255461578,-0.006051062335457,0.007445585136175962,0.6666666666666666,15,4248,4248,283.2
2024-02,dm02_confirmed_sell,9,0.00016748540278544905,0.011743333335831416,0.01426216884046162,0.0552371423999062,0.0036256447570625987,0.04619465336729274,-0.006938778321057244,0.007273749126628142,0.6666666666666666,15,4246,4246,283.06666666666666
2024-02,dm02_confirmed_sell,10,0.00030744548901155276,0.011162793877109348,0.027541983879323145,0.10666964488613169,0.0034230509849540545,0.08981621669175326,-0.006401734441498394,0.007016625419521499,0.7333333333333333,15,4252,4252,283.46666666666664
2024-02,dm03_price_room_buy,1,-0.007132989787920702,0.007919731310904562,-0.9006605789895161,-2.013938279274877,0.0035951671312038653,-1.9840495664334175,-0.014179517365080278,-8.646221076112626e-05,0.2,5,2411,2411,482.2
2024-02,dm03_price_room_buy,2,0.0014563090586519334,0.008414231923537038,0.17307688591019416,0.6703238967436231,0.0025663857749201463,0.5674552410957183,-0.003573807060191553,0.00648642517749542,0.6,15,7195,7195,479.6666666666667
2024-02,dm03_price_room_buy,3,-0.00038403011353533017,0.009945767684716073,-0.0386124154222383,-0.14447442938580196,0.003138089383616362,-0.12237704749275512,-0.006534685305423399,0.005766625078352739,0.5,14,3135,3135,223.92857142857142
2024-02,dm03_price_room_buy,4,-2.2695793524864865e-05,0.009975281068260022,-0.0022752034122707353,-0.008811824924958845,0.0030863038655837356,-0.007353713215977274,-0.006071851370068987,0.006026459783019257,0.5333333333333333,15,4240,4240,282.6666666666667
2024-02,dm03_price_room_buy,5,0.0008076683515033009,0.010519808700977022,0.07677595424603957,0.2973519921840939,0.003295899722228706,0.24505246505411002,-0.005652295104064963,0.007267631807071564,0.6,15,4246,4246,283.06666666666666
2024-02,dm03_price_room_buy,6,0.0005330828562943311,0.010930140128483675,0.048771822687353326,0.18889245703230048,0.003393177186916972,0.15710433818479375,-0.006117544430062934,0.0071837101426515965,0.6,15,4245,4245,283.0
2024-02,dm03_price_room_buy,7,0.0006886697463106088,0.011239523835438036,0.06127214607964479,0.23730600135285235,0.003512947345870353,0.19603759422132386,-0.006196707051595283,0.007574046544216501,0.6666666666666666,15,4243,4243,282.8666666666667
2024-02,dm03_price_room_buy,8,0.0005649753382312838,0.011226021033674463,0.05032730087860507,0.1949167981624073,0.0034362755771653957,0.16441502596172317,-0.006170124793012891,0.007300075469475459,0.6666666666666666,15,4248,4248,283.2
2024-02,dm03_price_room_buy,9,0.0008290739986218813,0.011443296433495169,0.07245062674380569,0.2806000708010491,0.003528770278592596,0.23494700226067042,-0.006087315747419607,0.007745463744663369,0.6666666666666666,15,4244,4244,282.93333333333334
2024-02,dm03_price_room_buy,10,0.0007345476872244297,0.009575534988294767,0.07671087705515654,0.29709994930758593,0.0028971182024167303,0.25354425877814774,-0.004943803989512362,0.006412899363961221,0.6666666666666666,15,4255,4255,283.6666666666667
2024-02,dm03_price_room_sell,1,-0.0036320055919959247,0.007972913791422988,-0.4555430658115385,-1.2884703638313943,0.003027474555886656,-1.1996816240565298,-0.00956585572153377,0.002301844537541921,0.375,8,3807,3807,475.875
2024-02,dm03_price_room_sell,2,0.000879045876889941,0.008632953077817774,0.10182447060307029,0.39436447888207793,0.0026292725579608323,0.3343304497772178,-0.00427432833671329,0.006032420090493172,0.6,15,5516,5516,367.73333333333335
2024-02,dm03_price_room_sell,3,-0.00045811095957560405,0.009834707765250902,-0.046581044450985445,-0.174290309053675,0.003121621983310254,-0.1467541432066065,-0.006576490046863702,0.005660268127712494,0.5714285714285714,14,3477,3477,248.35714285714286
2024-02,dm03_price_room_sell,4,0.0004720269376906289,0.010229725684425588,0.0461426779419192,0.1787098232184654,0.0031844047384351486,0.14823082379992567,-0.0057694063496422626,0.00671346022502352,0.5333333333333333,15,4180,4180,278.6666666666667
2024-02,dm03_price_room_sell,5,0.000997926131890517,0.010417683714132622,0.09579155590380722,0.37099910072274217,0.0032910835695269085,0.3032211461084133,-0.005452597664382223,0.007448449928163257,0.6666666666666666,15,4247,4247,283.1333333333333
2024-02,dm03_price_room_sell,6,0.0006987192143435067,0.010540100918568216,0.06629151084432139,0.2567459174949851,0.003282322031852055,0.21287344982090417,-0.005734631968086521,0.007132070396773535,0.6,15,4246,4246,283.06666666666666
2024-02,dm03_price_room_sell,7,0.00026882207646088514,0.011325121775992555,0.023736793456009004,0.09193220574748807,0.00350387145035067,0.07672144377156909,-0.006598765966226427,0.007136410119148198,0.5333333333333333,15,4241,4241,282.73333333333335
2024-02,dm03_price_room_sell,8,0.0006645728154365943,0.011225439612079533,0.059202386579270995,0.22928985727725004,0.0034749238545483726,0.19124816636391223,-0.006146277939478215,0.007475423570351404,0.6,15,4253,4253,283.53333333333336
2024-02,dm03_price_room_sell,9,0.0007382191339881623,0.011205027078465992,0.06588285140398135,0.2551631862882777,0.0034655223493432223,0.21301814259777255,-0.006054204670724553,0.007530642938700878,0.6666666666666666,15,4241,4241,282.73333333333335
2024-02,dm03_price_room_sell,10,0.0007119825989228526,0.00989657209870441,0.07194234446248923,0.27863150199033815,0.0029632293195866245,0.24027252775096575,-0.00509594686746693,0.0065199120653126365,0.6666666666666666,15,4254,4254,283.6
2024-02,dm04_price_cap_buy,1,0.001039251129023182,0.006791265726160411,0.15302760500445697,0.5926733656922687,0.0019634033125357354,0.5293110806057413,-0.002809019363546859,0.004887521621593224,0.6,15,4240,4240,282.6666666666667
2024-02,dm04_price_cap_buy,2,0.0004543868074148042,0.009350883680265593,0.04859292693093347,0.18819959674697923,0.0028808068257332974,0.15772900958020397,-0.005191994571022459,0.006100768185852068,0.6,15,4248,4248,283.2
2024-02,dm04_price_cap_buy,3,0.0004884573081889831,0.009924997260855696,0.04921485571743827,0.19060831657963928,0.003094672129193856,0.15783814497861634,-0.005577100065030974,0.006554014681408941,0.6,15,4243,4243,282.8666666666667
2024-02,dm04_price_cap_buy,4,0.0005911052529127845,0.010228663507457882,0.057789099473435634,0.22381621985294,0.0031772234342989695,0.18604459684252816,-0.005636252678313196,0.0068184631841387644,0.6,15,4250,4250,283.3333333333333
2024-02,dm04_price_cap_buy,5,0.0003956231830506803,0.01040385908809073,0.038026580300722174,0.147276312217916,0.0032396985448196734,0.12211728269696195,-0.005954185964795879,0.006745432330897239,0.5333333333333333,15,4247,4247,283.1333333333333
2024-02,dm04_price_cap_buy,6,0.0006122968150583314,0.010670338767034297,0.05738307174932484,0.22224368123936042,0.003328770949948288,0.18394080706209098,-0.005912094246840313,0.007136687876956976,0.6,15,4246,4246,283.06666666666666
2024-02,dm04_price_cap_buy,7,0.000981750589597378,0.010905234922850122,0.09002562499046045,0.34866774631996755,0.003396836138904643,0.28901911939560243,-0.005676048242655722,0.007639549421850478,0.7333333333333333,15,4244,4244,282.93333333333334
2024-02,dm04_price_cap_buy,8,0.0005215402496223889,0.011073094072049035,0.047099775927929036,0.18241664777897015,0.003435021952174612,0.15183025229059074,-0.006211102776639851,0.0072541832758846285,0.6,15,4246,4246,283.06666666666666
2024-02,dm04_price_cap_buy,9,0.0005656751349463251,0.011172522598462993,0.0506309233175456,0.1960927228119589,0.0034572495759996724,0.16361998823378515,-0.006210534034013033,0.007341884303905683,0.6,15,4244,4244,282.93333333333334
2024-02,dm04_price_cap_buy,10,0.0009500809025719977,0.011241181127447111,0.08451788933924619,0.32733637786750186,0.0034159914907770884,0.2781274207319141,-0.005745262419351096,0.007645424224495091,0.7333333333333333,15,4254,4254,283.6
2024-02,dm04_price_cap_sell,1,0.0015387032275089164,0.007231394006512012,0.21278099715259383,0.8240972583614037,0.002119654665482438,0.72592165722368,-0.002615819916836662,0.005693226371854494,0.6,15,4240,4240,282.6666666666667
2024-02,dm04_price_cap_sell,2,0.0007720912470659402,0.00941159094929638,0.08203620952349852,0.3177248732704921,0.00289985617256308,0.266251565981466,-0.004911626851157696,0.006455809345289577,0.6,15,4248,4248,283.2
2024-02,dm04_price_cap_sell,3,0.0008513403229323005,0.009848435530563516,0.08644421951996957,0.3347970225767402,0.003073009894589151,0.2770379374408494,-0.005171759070462435,0.006874439716327036,0.5333333333333333,15,4245,4245,283.0
2024-02,dm04_price_cap_sell,4,0.000589463799621312,0.010318812591120786,0.05712515799817302,0.22124478557639152,0.003234555208451624,0.18223952340683258,-0.005750264408943871,0.006929192008186495,0.6,15,4246,4246,283.06666666666666
